Song,Artist,Popularity,BPM,Time,Dance,Energy,Acoustic,Happy,Live,Loud (Db),Camelot,Artist_Clean,Song_Clean,Genre Tags,lyrics,time_seconds,time_bucket
Praise God,Kanye West,2,118,03:46,80,55,1,21,20,-6,3B,Kanye West,Praise God,"MySpotigramBot, trap, Baby Keem, Hip-Hop, Kanye West","That she wrote, ""Speech to the Young: Speech to the Progress-Toward""
Say to them, say to the down-keepers, the sun-slappers
The self-soilers, the harmony-hushers
Even if you are not ready for the day, it cannot always be night
Serve, flex, I do work (Work)
Six, I'm like Mike
He's out of sight, woo
You done got me piped
Two-man like Ike
Six out the spot (Uh, uh)
Into the night

Yeah, I'm shakin' the drop (Drop)
I'm still up on top (Aight)
I been had the bop
The devil my opp, can't pay me to stop (It's lit)
My God at the top (La Flame)

We gon' praise our way out the grave, dawg
Livin', speakin', praise God
Walkin' out the graveyard back to life
I serve, follow your word, see with new sight, into the night (Hey)

Yeah, this life I'm livin' (I'm livin')
All the advice been tipped in (That thang)
Gave me that grip, no slippin' (That grip)
Out of my mind, went trippin' (My mind)
Tell me take two when I'm on one (I'm on)
That lookout like no one
Kept it real tight like your son (Your son)
Yeah (La Flame)

We gon' praise our way out the grave, dawg
Livin', speakin', praise God
Walkin' out the graveyard back to life
I serve, follow your word, see with new sight, into the night
Still on side, huh, still outside
****, attention, still outside, huh, still outside
Tame Imp—, Tame Impala, ****
Tame Impala, stay outside, huh
And I'm still outside, I'm still outside, still outside, huh
Let's get right, huh, let's get right, uh, let's get right, uh, huh
Let's get right, let's get (Ayy, ayy, ayy), let's get right
Let's get (Ayy, ayy, ayy), let's get—
Look at new scenes, I opened my life, I'm subject to memes
I signed a few ****, I polished their dreams
An angel on earth, come under my wing
Stop runnin' your publishers, ****
They publish the headlines and say the wrong things
Y'all treat your Lord and Savior like renters' insurance, you know what I mean?
Bada the bada the boom, I bada the boom, I bada the bing
I need a new girl, my old one was mean
I had to let go, forgave all them evils that came to my shows
I channeled them bad **** all in abode
I channeled your trust, I channeled the turbulence, came with the life
I gathered my sinners and asked if I'm right, let's get
I just get right, ****, huh
Let's get right, let's get right, let's get right, shh, shh
Ain't on sight, it's on sight
I don't know you, you, you, you, it's on sight
I don't know you, you, you, you (Ayy, ayy), let's get right
Ayy, all of my **** on Channel 5
I don't channel ten 'til it go time
Used to throw up my uncle's spaghetti
Been told to tote since before I was ready
Back when my mama told me that I was challenged
A single Black woman, you know that she petty
I turned a heavy heart to two million dollars
I put that in totals, reverse outta debty
I gotta, I gotta put on a rager one time
I swung the powder, went major one time
I know some white people servin' no time
I gotta do it for me, do it for, pray for me
Do it for all the ones dyin'
I wanna do it for all the ones cryin'
I wanna, uh, uh, uh, let's get right, huh",226,220
Getaway Car,Taylor Swift,80,172,03:53,56,69,0,35,0,-7,10B,Taylor Swift,Getaway Car,"pop, electropop, synthpop, overrated, female vocalist","No, nothin' good starts in a getaway car

It was the best of times, the worst of crimes
I struck a match and blew your mind
But I didn’t mean it and you didn't see it
The ties were black, the lies were white
In shades of gray in candlelight
I wanted to leave him, I needed a reason

""X"" marks the spot where we fell apart
He poisoned the well, I was lyin' to myself
I knew it from the first Old Fashioned, we were cursed
We never had a shotgun shot in the dark (Oh)

You were drivin’ the getaway car
We were flyin', but we'd never get far
Don't pretend it's such a mystery
Think about the place where you first met me
Ridin' in a getaway car
There were sirens in the beat of your heart
Shoulda known I'd be the first to leave
Think about the place where you first met me

In a getaway car (Oh-oh-oh)
No, they never get far (Oh-oh-ah)
No, nothin' good starts in a getaway car

It was the great escape, the prison break
The light of freedom on my face
But you weren’t thinkin’ and I was just drinkin'
While he was runnin’ after us, I was screamin', ""Go, go, go""
But with three of us, honey, it's a sideshow
And a circus ain't a love story and now we’re both sorry (We're both sorry)

""X"" marks the spot where we fell apart
He poisoned the well, every man for himself
I knew it from the first Old Fashioned, we were cursed
It hit you like a shotgun shot to the heart (Oh)

You were drivin' the getaway car
We were flyin', but we'd never get far
Don't pretend it's such a mystery
Think about the place where you first met me
Ridin' in a getaway car
There were sirens in the beat of your heart
Shoulda known I'd be the first to leave
Think about the place where you first met me

In a getaway car (Oh-oh-oh)
No, they never get far (Oh-oh-ah)
No, nothin' good starts in a getaway car

We were jet-set, Bonnie and Clyde (Oh-oh)
Until I switched to the other side, to the other side
It's no surprise I turned you in (Oh-oh)
'Cause us traitors never win

I'm in a getaway car
I left you in a motel bar
Put the money in a bag and I stole the keys
That was the last time you ever saw me (Oh)

Drivin' the getaway car
We were flyin', but we'd never get far (Don't pretend)
Don't pretend it's such a mystery
Think about the place where you first met me
Ridin' in a getaway car
There were sirens in the beat of your heart (Shoulda known)
Shoulda known I'd be the first to leave
Think about the place where you first met me

In a getaway car (Oh-oh-oh)
No, they never get far, oh-oh-ah
No, nothin' good starts in a getaway car

I was ridin' in a getaway car
I was cryin' in a getaway car
I was dyin' in a getaway car
Said goodbye in a getaway car
Ridin' in a getaway car
I was cryin' in a getaway car
I was dyin' in a getaway car
Said goodbye in a getaway car",233,230
Holding on for Life,Broken Bells,35,169,03:56,34,59,1,48,20,-7,10A,Broken Bells,Holding on for Life,"indie, alternative, chillout, rock, indie rock","Girl take a seat, rest your weary bones
Your secret's safe in my hands
Tell me 'bout the years and let me buy an hour
Maybe help me to understand

Ain't nobody callin', ain't nobody home
What a lovely day to be lonely
You're holding on for life, holding on for life
You're holding on for love
You're holding on for life, holding on for life
You're holding on for love

Light another cigarette, burning in the cold
Waiting on the street for your man
You're trying not to look so young and miserable
You gotta get your kicks while you can

And in the Latin Quarter
Sitting on your own
What a lovely day to be lonely

You're holding on for life, holding on for life
You're holding on for love
You're holding on for life, holding on for life
You're holding on for love

Well you might belong to another time
Still you have to carry on, yeah
Nowhere else to go and you never know
What to hide and what to show, no

You're holding on for life, holding on for life
You're holding on for love
You're holding on for life, holding on for life
You're holding on for love",236,230
The Difference,"Flume,Toro y Moi",13,160,02:19,56,87,26,42,0,-1,3B,Flume,The Difference,"Drum and bass, toro y moi, electronic, indie, pop","The difference in between
All the faces you read
When the grass ain't green
When you fix everything

I don't know about you
But I got to get it out and I don't know how soon
But if we die
I want to bring the whole thing

Ooooh, ooh-ooh, ooh-ooh, ooh-ooh, ooh
Ooh-ooh, ooh-ooh, ooh
Ooooh, ooh-ooh, ooh-ooh, ooh-ooh, ooh
Ooh-ooh, ooh-ooh, ooh-ooh (Thing)

Who cares about a game
When it's all been replaced?
Each level feels the same
It really goes either way

I don't know about you
But I got to get it out and I don't know how soon
But if we die
I want to bring the whole thing

Ooooh, ooh-ooh, ooh-ooh, ooh-ooh, ooh
Ooh-ooh, ooh-ooh, ooh
Ooooh, ooh-ooh, ooh-ooh, ooh-ooh, ooh
Ooh-ooh, ooh-ooh, ooh-ooh (Thing)

Just another world that I gotta get a grip of and hold onto
Just another world that I gotta get a grip of and hold onto
(Ooooh, ooh-ooh, ooh-ooh, ooh-ooh, ooh
Ooh-ooh, ooh-ooh, ooh)
Just another world that I gotta get a grip of and hold onto
Just another world that I gotta get a grip of and hold onto
(Ooooh, ooh-ooh, ooh-ooh, ooh-ooh, ooh
Ooh-ooh, ooh-ooh, ooh-ooh, thing)
Oh-oh-oh, oh-oh-oh
Oh-oh, oh-oh (Thing)
Oh-oh-oh, oh-oh-oh
Oh-oh, oh-oh (Thing)",139,130
Portland,"Drake,Quavo,Travis Scott",71,136,03:56,93,44,2,35,20,-8,3B,Drake,Portland,"travis scott, quavo, trap, Hip-Hop, hip hop","Murda on the beat so it's not nice
Yeah
It's a Habibis ting, ya?

Yeah, my side girl got a 5S with the screen cracked
Still hit me back right away, better not never hesitate
Don't come around thinkin' you gettin' saved
Tryna show the dogs brighter days
Got a torch, tryna light the way
Bitin' everybody, which is ironic
'Cause your next album probably won't ever see the light of day
Had fans, but you let 'em down
But I guess that's how you niggas gettin' down
I'm so high up I'm like, ""How is niggas really gettin' down?""
I could never have a kid, then be out here still kiddin' round
Boys playin' around, where you really wanna take it now?
I got a 150,000 dollars for an afterparty
And I gave it to the killas just to break it down
Bring us up, I never take us down
But if you bring me up, then they might take you down
Fake fucked with me back then
But it's gettin' hard for you to fake it now
Fuck bein' rich when I'm forty, man, I'm tryna make it now

Hell nah
Never let these niggas ride your wave
Nope, no way, nah
Never let these niggas ride your wave
Nope, no way, nah
Park the Benz just to ride the Wraith
Skrrt skrrt
Ten million dollars, gotta hide the safe

Skrrt-skrrt, oh
Michael Phelps with the swim moves
Skrrt-skrrt, oh
Michael Jordan with the tennis shoes

Skrrt skrrt
Quavo, young nigga, I invented you (Ugh)
Ike Turner with the left hand (Ike)
Griselda Blanco with the trap moves (Trappin')
Gangland with the right hand (Gang)
Undertaker with the tattoos (Tats)
Never listen to the class rules (No)
Switch it up, they bit the last move (Let's go!)
I'm a magnet for bad bitches (Magnet)
You got the goin' out sad bitches (Sad)
I spent a fifty on the chain (Racks)
You spent your last fifty (Ugh, cash)
I got the keys to the streets (Keys)
You got the key to defeat (Defeated)
I got the keys to the warzone (Brrapt)
You got the key to the peace (Ugh)

Hell nah
Never let these niggas ride your wave
Nope, no way, nah
Never let these niggas ride your wave
Nope, no way, nah
Park the Benz just to ride the Wraith
Skrrt-skrrt
Ten million dollars, gotta hide the safe

We gon' go live, we gon' go live, yep (Yeah, yeah)
We gon' go live, we gon' go live, yep (Yeah, yeah)
Gettin' loose (Yeah), yeah
Off the Henny, 'Roc and a hint of Goose (Yeah), yeah
Ocean deep in my swimmin' pool, yeah (In my pool)

Throwin' Dead Prez in my livin' room, yeah (In my room)
Takin' shots, feelin' bulletproof
Flood my Rollie, told my bitch: ""Let's go snorkelin'!"" (Yeah)
Out in Portland, tryna get in her organs (Yeah)
No, I did not sign with Jay but I still send a Tidal wave
Yeah, I might just go get the fade, buy the du-rag and just tie the waves
Yeah, it's lit at the crib, you could stay, me and Drake kick like Kid N' Play (Kid N' Play)
God, the way that she servin' that cake, I gotta sit back and digest (Straight up)
I guess for the fuck shit, I'm biased (Yeah)
I mix, double the cup when I stress
Got my mama out the basement (Mama)
That's a different type of face lift
Free Max B up out the bracelets (Yeah, yeah)
Don't hit us askin' what the wave is

Hell nah
Never let these niggas ride your wave
Nope, no way, nah
Never let these niggas ride your wave
Nope, no way, nah
Park the Benz just to ride the Wraith
Skrrt skrrt
Ten million dollars, gotta hide the safe

Skrrt-skrrt, oh
Michael Phelps with the swim moves
Skrrt-skrrt, oh
Michael Jordan with the tennis shoes
Skrrt-skrrt, oh
Michael Phelps with the swim moves
Skrrt-skrrt, oh
Michael Jordan with the tennis shoes",236,230
Circles,Post Malone,88,120,03:35,70,76,19,55,0,-3,8B,Post Malone,Circles,"indie pop, pop, 2010s, 2019, pop rock","Oh, oh, oh
Oh,  oh, oh
Oh,  oh, oh, oh, oh

We couldn't turn around 'til we were upside down
I'll be the bad guy now, but know I ain't too proud
I  couldn't be there even when I tried
You  don't believe it, we do this every time

Seasons change and our love went cold
Feed  the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm  waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

Let go, I got a feeling that it's time to let go
I said so, I knew that this was doomed from the get-go
You thought that it was special, special
But it was just the sex, though, the sex, though
And I still hear the echoes (The echoes)
I got a feeling that it's time to let it go, let it go

Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away

Maybe you don't understand what I'm going through
It's only me, what you got to lose?
Make up your mind, tell me, what are you gonna do?
It's only me, let it go

Seasons change and our love went cold
Feed the flame 'cause we can't let go
Run away, but we're running in circles
Run away, run away
I dare you to do something
I'm waiting on you again, so I don't take the blame
Run away, but we're running in circles
Run away, run away, run away",215,210
Happy Idiot,TV On The Radio,64,140,03:03,62,95,0,86,0,-4,10A,TV On The Radio,Happy Idiot,"indie rock, pop, indie, dance-punk, radio paradise","Stuck in the shade
Where there's no sunshine
I don't wanna play
With them other kids in the sun

Since you left me, babe
It's been a long way down
Yeah, you left me, babe
It's been a long way down

What you don’t know won't hurt you, yeah
Ignorance is bliss
I'm a happy idiot
Waving at cars
I'm gonna bang my head to the wall
'Til I feel like nothing at all
I'm a happy idiot
To keep my mind off you

Stuck in a daze
And I've lost my mind
I don't wanna stay
Where the blame's all mine

Since you left me, babe
It's been a long way down
Yeah, you left me, babe
It's been a long way down

So, I shut it off
So, I shut it all off
So, I shut it off
So, I shut it all off
Whoa, oh, it's been a long way down
Oh, oh, oh, it's been a long way down

What you don't know won't hurt you, yeah
Ignorance is bliss
I'm a happy idiot
Waving at cars
I'm gonna bang my head to the wall
'Til I feel like nothing at all
I'm a happy idiot
To keep my mind off you

To keep my mind off you
To keep my mind off you",183,180
JACKIE BROWN,Brent Faiyaz,74,138,02:49,73,35,65,50,20,-10,6B,Brent Faiyaz,JACKIE BROWN,Treasure,"Only been a few hours, but it felt like days
Only been days, but it feel like months
I been gone for a year, only wrote like once
Life moves fast when you do what you want
I guess I'm doing what I want
Hope you doing what you want (What else?)
But what you want? (I don't know)

My new bitch look like Halle Berry
But she don't love me, she too scary
My old bitch fine like Jackie Brown
I don't wanna love her, she too down

Will you be my leading lady?
I want a contract, girl, no maybe
In the meantime (I guess I'm doing what I want)
Get some me-time (Hope you doing what you want)

Maybе I don't love myself, I don't know
Leavе me here, I'll fuck myself
See me in the mirror, I duck myself
I don't need much so fuck my wealth

Only been a few hours, but it felt like days
Only been days, but it feel like months
I been gone for a year, only wrote like once
Life moves fast when you do what you want
I guess I'm doing what I want (You don't gotta front when life's a water front)
Hope you doing what you want (What else?)
But what you want? (I don't know)
(You could play it loud?)

Crib by the beach like Ordell
No Beaumont, my killers don't tell
Chateau Marmont grabbed the Louis off the shelf
Now my bitch addicted to Chanel

Will you be my leading lady?
I want a contract, girl, no maybe
In the meantime (I guess I'm doing what I want)
Get some me-time (I don't know)
(Hope you doing what you want)

My new bitch look like Halle Berry
But she don't love me, she too scary
My old bitch fine like Jackie Brown",169,160
There She Goes,The La's,66,123,02:42,54,85,1,91,10,-7,9B,The La's,There She Goes,"britpop, indie, 90s, pop, rock","There she goes
There she goes again
Racing through my brain

And I just can't contain
This feelin' that remains

There she blows (There she blows again)
There she blows again (There she blows again)
Pulsing through my vein (There she blows again)

And I just can't contain
This feelin' that remains

There she goes
There she goes again
She calls my name, pulls my train
No one else could heal my pain

But I just can't contain
This feelin' that remains

There she goes
There she goes again
Chasing down my lane

And I just can't contain
This feelin' that remains

There she goes (There she goes again)
There she goes (There she goes again)
There she goes (There she goes again)",162,160
the 1,Taylor Swift,76,140,03:30,78,36,76,17,10,-7,8B,Taylor Swift,the 1,"overrated, folk, chamber pop, indie pop, singer-songwriter","I'm doing good, I'm on some new shit
Been saying ""yes"" instead of ""no""
I thought I saw you at the bus stop, I didn't though
I hit the ground running each night
I hit the Sunday matinée
You know the greatest films of all time were never made

I guess you never know, never know
And if you wanted me, you really should've showed
And if you never bleed, you're never gonna grow
And it's alright now

But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one
(Ooh)

I have this dream you're doing cool shit
Having adventures on your own
You meet some woman on the internet and take her home
We never painted by the numbers, baby
But we were making it count
You know the greatest loves of all time are over now

I guess you never know, never know
And it's another day waking up alone

But we were something, don't you think so?
Roaring twenties, tossing pennies in the pool
And if my wishes came true
It would've been you
In my defense, I have none
For never leaving well enough alone
But it would've been fun
If you would've been the one

I, I, I persist and resist the temptation to ask you
If one thing had been different
Would everything be different today?

We were something, don't you think so?
Rosé flowing with your chosen family
And it would've been sweet
If it could've been me
In my defense, I have none
For digging up the grave another time
But it would've been fun
If you would've been the one
(Ooh)",210,210
Feel No Ways,Drake,78,194,04:00,58,68,3,21,10,-7,9B,Drake,Feel No Ways,"2016, Hip-Hop, rap, rnb, Drake","I should be downtown, whipping on the way to you
You got something that belongs to me
Your body language says it all
Despite the things you said to me
Who is it that's got you all gassed up? (Yeah)
Changin' your opinion on me
I was only gone for the last few months
But you don't have the time to wait on me

I tried with you
There's more to life than sleeping in and getting high with you
I had to let go of us to show myself what I could do
And that just didn't sit right with you, yeah

And now you're tryna make me feel a way, on purpose
Now you're throwing it back in my face, on purpose
Now you're talking down on my name (Ah), on purpose, yeah
And you don't feel no way, you think I deserve it
World's, world's, world's famous
World's, world's, world's famous

Feel a way, feel a way, young nigga feel a way
I've stopped listenin' to things you say
'Cause you don't mean it anyway (Yeah)
Feel a way, feel a way, young nigga feel a way
Maybe we just should have did things my way
Instead of the other way

I tried with you
There's more to life than sleeping in and getting high with you
I had to let go of us to show myself what I could do
And that just didn't sit right with you, yeah

And now you're tryna make me feel a way, on purpose
Now you're throwing it back in my face, on purpose
Now you're talking down on my name (Ah), on purpose, yeah
And you don't feel no way, you think I deserve it
World's, world's, world's famous
World's, world's, world's famous

(I tried with you)
Yeah, yeah, yeah
Yeah, yeah, yeah
(Feel a way, feel a way, young nigga feel a way)
(I've stopped listening to things you say)
(Feel a way, feel a way, young nigga feel a way)
(I've stopped listening to things you say)",240,240
Caramelo Duro (feat. Kali Uchis),"Miguel,Kali Uchis",50,100,03:33,62,73,3,83,30,-5,10B,Miguel,Caramelo Duro (feat. Kali Uchis),"miguel, kali uchis","Sweet, sweet, sweet, sweet

Jaw Breaker to my demise, oh yeah (oh la la la la la)
Blood sugar I feel it rise, oh (oh la la la la la)
Got that flavor, yeah, that’s something you can’t buy
What are you made of, yeah
That’s something that I like (oh la la la la la)
Maybe now and later, hour glass, sour patch
That pink starburst on my brain
Running through your candy lane, yeah

Hard candy, let me drive you crazy
Very clean, how pure, I won’t leave you alone
Gift me a little bit of sugar
Gift me a little bit of sugar

A little bit of flavor (a little bit of flavor)
That’s all I need
(That’s all I need babe, that’s all I need babe)
I will see you love’s deepness
(To the depths of your love, your love)
If you come with me
(Should comе my way babe, should come my way babe)
Now and latеr, hour glass, sour patch
Put that pink starburst on my brain
Running through your candy lane

Hard candy, let me drive you crazy
Very clean, how pure, I won’t leave you alone
Gift me a little bit of sugar
Gift me a little bit of sugar
Gift me a little bit of sugar
Gift me a little bit of sugar
Sweet

Sugar and I sweat, if it has a good flavor and a dirty mind, and a dirty mind (sweet, sweet)
Sugar and I sweat, if it has a good flavor and a dirty mind, and a dirty mind (sweet, sweet)

Hard candy, let me drive you crazy
Very clean, how pure, I won’t leave you alone
Gift me a little bit of sugar
Gift me a little bit of sugar
Hard candy, let me drive you crazy
Very clean, how pure, I won’t leave you alone
Gift me a little bit of sugar
Gift me a little bit of sugar
Hard candy, let me drive you crazy
Very clean, how pure, I won’t leave you alone
Gift me a little bit of sugar
Gift me a little bit of sugar

Sweet, sweet, sweet, sweet, sweet",213,210
PRIDE.,Kendrick Lamar,86,139,04:35,67,54,8,37,10,-7,9A,Kendrick Lamar,PRIDE.,"MySpotigramBot, Conscious Hip Hop, Neo-Soul, hip hop, rap","Love's gonna get you killed
But pride’s gonna be the death of you and you and me
And you and you and you and me
And you and you and you and me
And you and you and you and me and—

Me, I wasn't taught to share, but care
In another life, I surely was there
Me, I wasn't taught to share, but care
I care, I care

Hell-raising, wheel-chasing, new worldly possessions
Flesh-making, spirit-breaking, which one would you lessen?
The better part, the human heart, you love ’em or dissect 'em
Happiness or flashiness? How do you serve the question?
See, in a perfect world, I would be perfect, world
I don't trust people enough beyond they surface, world
I don't love people enough to put my faith in man
I put my faith in these lyrics, hoping I make a band
I understand I ain't perfect, I probably won't come around
This time I might put you down
Last time I ain't give a fuck, I still feel the same now
My feelings might go numb, you're dealin’ with cold thumb
I’m willin' to give up a leg and arm to show empathy from
Pity parties and functions of you and yours
A perfect world, you probably live another 24
I can’t fake humble just 'cause your ass is insecure
I can't fake humble just 'cause your ass is insecure

Me, I wasn’t taught to share, but care
In another life, I surely was there
Me, I wasn't taught to share, but care
I care, I care
Maybe I wasn't there (We saw you first)
Maybe I wasn't there (I saw you first)
Maybe I wasn't there (I saw you first)
Maybe I wasn't there

Now, in a perfect world, I probably won't be insensitive
Cold as December but never remember what winter did
I wouldn't blame you for mistakes I made or the bed I laid
Seems like I point the finger just to make a point nowadays
Smiles and cold stares, the temperature goes there
Indigenous disposition, feel like we belong here
I know the walls, they can listen, I wish they could talk back
The hurt becomes repetition, the love almost lost that
Sick venom in men and women overcome with pride
A perfect world is never perfect, only filled with lies
Promises are broken and more resentment come alive
Race barriers make inferior of you and I
See, in a perfect world, I'll choose faith over riches
I'll choose work over bitches, I'll make schools out of prison
I'll take all the religions and put 'em all in one service
Just to tell 'em we ain't shit, but He's been perfect, world

Me, I wasn't taught to share, but care
In another life, I surely was there
Me, I wasn't taught to share, but care
I care, I care
Maybe I wasn't there (We saw you first)
Maybe I wasn't there (I saw you first)
Maybe I wasn't there (I saw you first)
Maybe I wasn't there",275,270
Dark Fantasy,Kanye West,72,88,04:40,60,59,27,37,10,-6,7B,Kanye West,Dark Fantasy,"Hip-Hop, rap, hip hop, Kanye West, 2010","You might think you've peeped the scene
You haven't, the real one's far too mean
The watered-down one, the one you know
Was made up centuries ago
They made it sound all wack and corny
Yes, it's awful blasted boring
Twisted fictions, sick addiction
Well, gather 'round, children, zip it, listen
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh (Oh)
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh (Oh)
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh

Yeah, yeah, yeah, yeah
I fantasized 'bout this back in Chicago
Mercy, mercy me, that Murciélago
That's me the first year that I blow
How you say broke in Spanish? Mi no hablo
Me drown sorrow in that Diablo
Me found bravery in my bravado
DJs need to listen to the models
You ain't got no fuckin' Yeezy in your Serato? (You ain't got no Yeezy, nigga?)
Stupid, but what the hell do I know?
I'm just a Chi-Town nigga with a Nas flow
And my chick in that new Phoebe Philo
So much head, I woke up to Sleepy Hollow
Can we get much higher?
Oh, oh, oh
Oh, oh, oh-oh, oh

Look like a fat booty Celine Dion
Sex is on fire, I'm the King of Leona Lewis
Beyond the truest
Hey, teacher, teacher, tell me how do you respond to students?
And refresh the page and restart the memory?
Re-spark the soul and rebuild the energy?
We stopped the ignorance, we killed the enemy
Sorry for the night demons that still visit me
The plan was to drink until the pain over
But what's worse, the pain or the hangover?
Fresh air, rollin' down the window
Too many Urkels on your team, that's why your wins low
Don't make me pull the toys out, huh
Don't make me pull the toys
And fire up the engines, huh
And then they make noise

Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh
At the mall, there was a seance
Just kids, no parents
Then the sky filled with herons
Saw the devil in a Chrysler LeBaron
And the hell, it wouldn't spare us
And the fires did declare us
But after that, took pills, kissed an heiress
And woke up back in Paris
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh, oh

Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh (Oh)
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh (Oh)
Can we get much higher? (So high)
Oh, oh, oh
Oh, oh, oh-oh, oh, oh",280,280
Mind Over Matter (Reprise),Young the Giant,79,152,03:50,39,49,23,30,10,-6,8B,Young the Giant,Mind Over Matter (Reprise),"MySpotigramBot, justin music discovery","Mind over matter
Does it matter to any of us?
Don't change the subject
I'm heavy on your love
I missed that train, New York city, it rains
Fly to East L.A. in big jet planes
(You know you're on my mind)

And if the world don't break
I'll be shakin' it
'Cause I'm a young man after all
And when the seasons change
Will you stand by me?
'Cause I'm a young man built to fall

Mind over matter
I'm in tatters thinkin' 'bout her
Taste my disaster (My disaster)
It's heavy on my tongue
All the lights aglow, Tokyo snows
Go to watch the show, curtain's closed
(I'm watching you this time)

And if the world don't break
I'll be shakin' it
'Cause I'm a young man after all
And when the seasons change
Will you stand by me?
'Cause I'm a young man built to fall

I missed that train, New York City it rains
Fly to East L.A. in big jet planes
You know you're on my mind
All the lights aglow, Tokyo snows
Go to watch the show, curtain's closed
(Mind over matter)
You know you're on my mind

And if the world don't break
I'll be shakin' it
'Cause I'm a young man after all
And when the seasons change
Will you stand by me?
'Cause I'm a young man built to fall
And if the world don't break

And when the seasons change
Will you stand by me?
'Cause I'm a young man built to fall",230,230
Apparently,J. Cole,8,134,04:53,80,54,56,53,10,-9,7B,J. Cole,Apparently,"hip hop, 2014, Hip-Hop, rap, j cole","Oh, right, oh
Oh, why, na-da-da-da, da, ah

I keep my head high, uh
I got my wings to carry me
I don't know freedom, uh
I want my dreams to rescue me
I keep my faith strong, uh
I ask the Lord to follow me
I've been unfaithful, uh
I don't know why you call on me
This is my canvas (Yeah, my canvas)
I'ma paint it how I want it baby, oh I (Paint it)
This is my canvas
I'ma paint it, paint it, paint it, how I want it nigga
Fuck you 'cause there, there is no right or wrong, only a song
I like to write alone, be in my zone
Think back to Forest Hills, no perfect home
But the only thing like home I've ever known
Until they snatched it from my mama
And foreclosed her on the loan
I'm so sorry that I left you there to deal with that alone
I was up in New York City chasing panties, getting dome
Had no clue what you was going through
How could you be so strong?
And how could I be so selfish? I know I can be so selfish
I could tell by how I treat you with my girl, damn, she so selfless
But she put up with my ways because she loves me like you do
And though it don't always show, I love her just like I love you, and
I need to treat you better
Wish you could live forever
So we could spend more time together, uh
I love you mama, uh

I keep my head high, uh
I got my wings to carry me
I don't know freedom, uh
I want my dreams to rescue me
I keep my faith strong, uh
I ask the Lord to follow me
I've been unfaithful, uh
I don't know why you call on me

E-e-eee, e-e, apparently (Uh)
You believe in me, huh, you believe in me
E-e-eee, e-e, apparently
You believe in me, and I thank you for it, oh, I

Another day, another rhyme, ho
Another day, another time zone
Today, I woke up feeling horny so it's only right, I got two bitches playing on my trombone
Keep up, never sure where the words would take me
Niggas eat 'em up and regurgitate me
Shit trump tight never slurred it lazy
Give a virgin the urge to rape me, nigga please
Best friends really make great for enemies
My watch came, niggas can't wait for one of these
I see you, nigga, this ain't no Rolex, it's an AP, nigga
I'm hot, dog, catch up to me, nigga— huh, couldn't resist
Aim for the stars and I shouldn't have missed
But I was riding on fumes, so I stopped by the moon
Now I'm sitting on the hood of this bitch
Like, ""Thanks for the view,"" waiting on thanks from a few
'Cause without me you wouldn't exist
You know that shit, gave you the blueprint, don't forget
Cole is your phone on zero percent
Going off, now niggas showing off
Niggas swear they hard, but they flowing soft
I'm taking off like ""boing!"" on a big ass Boeing, and getting head like a coin toss, too easy

I keep my head high, uh
I got my wings to carry me
I don't know freedom, uh
I want my dreams to rescue me
I keep my faith strong, uh
I ask the Lord to follow me
I've been unfaithful, uh
I don't know why you call on me

E-e-eee, e-e, apparently (Huh)
You believe in me, you believe in me, huh
E-e-eee, e-e, apparently
You believe in me, and I thank you for it, oh I",293,290
