Song,Artist,Popularity,BPM,Dance,Energy,Acoustic,Happy,Live,Loud,Camelot,Lyrics,Time,Genre,Subgenre
Sexy to Someone,Clairo,67,98,72,55,34,82,10,-7,5A,"Sexy to someone is all I really want
Sometimes sexy to someone is all I really want
Nothin' more, nothin' less, I've thought, walkin' through the park
Sexy to someone, I think about it all
Checkin' out of the hotel or moments at a bar
Ask if I'm in a movie, no, I didn't get the part

Sexy to somebody, it would help me out
Oh, I need a reason to get out of the house
And it's just a little thing I can't live without

Sexy is something I see in everything
Honey stickin' to your hands, sugar on the rim
Nothing more, nothing less, I've thought, take it all to heart
I want afterglowing, and when I call a car
Send me eyes with the knowing that I could pull it off
Ask if I'm doing TV, no, I didn't get the job

Sexy to somebody, it would help me out
Oh, I need a reason to get out of the house
And it's just a little thing I can't live without

I want to be sexy to someone (Is it too much to ask?)
I want to be sexy to someone (Then what's holding you back?)
I want to be sexy to someone (It's not too much to ask)
Sexy to someone

Sexy to somebody, it would help me out
Oh, I need a reason to get out of the house
And it's just a little thing I can't live without
Sexy to somebody, it would help me out
Oh, I need a reason to get out of the house
And it's just a little thing I can't live without",207,pop,pop soul
"Get Outta My Dreams, Get Into My Car",Billy Ocean,62,117,67,91,9,92,30,-6,12B,"Hey you, get into my car! Who me?
Yes you, get into my car
Woooooooooh. Wah! Hey

Who's that lady coming down the road?
Who's that lady?
Who's that woman walking through my door?
What's the score?
I'll be the sun shining on you
Hey Cinderella, step in your shoe
I'll be your nonstop lover
Get it while you can
Your nonstop miracle, I'm your man

Get outta my dreams
Get into my car
Get outta my dreams
(Get in the back seat, baby)
Get into my car
(Beep beep, yeah)
Get outta my mind
Get into my life
(Ooooooh)
Oh I said hey (Hey) you (You)
Get into my car
Oh baby

Lady driver, let me take your wheel
Smooth operator
Touch my bumper (Bumper)
Hey, let's make a deal, make it real
Like a roadrunner
Coming after you
Just like a hero outta the blue
I'll be your nonstop lover
Get it while you can
Your nonstop miracle
I'm your man

Get outta my dreams
Get into my car
Get outta my dreams
(Get in the back seat, baby)
Get into my car
(Beep beep, yeah)
Get outta my mind
Get in to my life
(Ooooooh)
Oh I said hey (Hey) you (You)
Get into my car

Oh baby, let's go
I said open the door
(Get in the back)
Tread on the floor
(Get on the track)
Yeah (Yeah) yeah (Yeah)
Yeah (Yeah) yeah (Yeah)
Let's go
Ooh, whoa, yeah

I'll be the sun shining on you
Hey Cinderella, step in your shoe
I'll be your nonstop lover
Get it while you can
Your nonstop miracle
I'm your man

Get outta my get outta my
Woooooooooh
Get outta my dreams
Get into my car
Get outta my dreams
(Get in the back seat, baby)
Get into my car
(Beep beep, yeah)
Get outta my mind
Get into my life
(Ooooooh)

Oh I said hey (Hey) you (You)
Get into my
Hey (Hey) you (You)
Get into my
Hey (Hey) you (You)
Get into my car
Hey you
(Get in the back seat)
I need you to get in the back seat
I want you in my baby
I want you in my baby
Get in the back seat, back seat...
I'll do the driving
I'll take the wheel..
(Back seat, back seat...)",284,pop,pop 80s
Fireflies,Owl City,81,180,51,66,3,47,10,-7,5B,"You would not believe your eyes if ten million fireflies
Lit up the world as I fell asleep
'Cause they'd fill the open air and leave teardrops everywhere
You'd think me rude, but I would just stand and stare

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems

'Cause I'd get a thousand hugs from ten thousand lightning bugs
As they tried to teach me how to dance
A foxtrot above my head, a sock hop beneath my bed
A disco ball is just hanging by a thread

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)

Leave my door open just a crack
(Please take me away from here)
'Cause I feel like such an insomniac
(Please take me away from here)
Why do I tire of counting sheep
(Please take me away from here)
When I'm far too tired to fall asleep?

To ten million fireflies, I'm weird 'cause I hate goodbyes
I got misty eyes as they said farewell (They said farewell)
But I'll know where several are if my dreams get real bizarre
'Cause I saved a few and I keep them in a jar (Jar, jar, jar)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)
I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
'Cause everything is never as it seems (When I fall asleep)

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay awake when I'm asleep
Because my dreams are bursting at the seams",228,electronic,electronic pop
I Hate Myself for Loving You,Joan Jett & the Blackhearts,70,118,61,88,8,61,10,-11,11B,"Midnight, gettin' uptight, where are you?
You said you'd meet me, now it's quarter to two
I know I'm hangin' but I'm still wantin' you
Hey Jack, it's a fact they're talkin' in town
I turn my back and you're messin' around
I'm not really jealous, don't like lookin' like a clown

I think of you every night and day
You took my heart and you took my pride away

I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

Daylight, spent the night without you
But I've been dreamin' 'bout the lovin' you do
I'm over bein' angry 'bout the hell you put me through
Hey, man, bet you can treat me right
You just don't know what you was missin' last night
I wanna see you begging, say forget it just for spite

I think of you every night and day
You took my heart and you took my pride away

I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh


I think of you every night and day
You took my heart and you took my pride away

I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

I hate myself for loving you
Can't break free from the things that you do
I wanna walk but I run back to you
That's why I hate myself for loving you
Ow! Uh

I hate myself for loving you
I hate myself for loving you
I hate myself for loving you
I hate myself
I hate myself for loving you",246,rock,rock 80s
Scary Monsters and Nice Sprites,Skrillex,59,140,53,95,0,31,10,-3,6A,"​Uoy ekil tsuj ma I rof
​Dneirf ym ,edih ot deen t'nod uoy
Uoy ekil tsuj ma I rof
​Dneirf ym ,edih ot deen t'nod uoy

Yes, oh my gosh


​Uoy ekil tsuj ma I rof
​Dneirf ym ,edih ot deen t'nod uoy
Uoy ekil tsuj ma I rof
​Dneirf ym ,edih ot deen t'nod uoy

Yes, oh my gosh


​Uoy ekil tsuj ma I rof
​Dneirf ym ,edih ot deen t'nod uoy
Uoy ekil tsuj ma I rof
​Dneirf ym, edih ot deen t'nod uoy

Look at this, I'm a coward too
You don't need to hide, my friend
For I am just like you",243,electronic,electronic
Into the Groove,Madonna,53,116,73,86,7,80,0,-4,3A,"And you can dance
For inspiration
Come on
I'm waiting

Get into the groove
Boy, you've got to prove
Your love to me, yeah
Get up on your feet
Yeah, step to the beat
Boy, what will it be?

Music can be such a revelation
Dancing around, you feel the sweet sensation
We might be lovers if the rhythm's right
I hope this feeling never ends tonight

Only when I'm dancing can I feel this free
At night, I lock the doors, where no one else can see
I'm tired of dancing here all by myself
Tonight, I want to dance with someone else

Get into the groove
Boy, you've got to prove
Your love to me, yeah
Get up on your feet
Yeah, step to the beat
Boy, what will it be?

Gonna get to know you in a special way
This doesn't happen to me every day
Don't try to hide it, love wears no disguise
I see the fire burning in your eyes

Only when I'm dancing can I feel this free
At night, I lock the doors, where no one else can see
I'm tired of dancing here all by myself
Tonight, I want to dance with someone else

Get into the groove
Boy, you've got to prove
Your love to me, yeah
Get up on your feet
Yeah, step to the beat
Boy, what will it be?
Yeah

Live out your fantasy here with me
Just let the music set you free
Touch my body, and move in time
Now I know you're mine
You've got to

Get into the groove
Boy, you've got to prove
Your love to me, yeah
Get up on your feet
Yeah, step to the beat
Boy, what will it be?

Only when I'm dancing can I feel this free
At night I lock the doors, where no one else can see
I'm tired of dancing here all by myself
Tonight I want to dance with someone else

Live out your fantasy here with me
Just let the music set you free
Touch my body, and move in time
Now I know you're mine
Now I know you're mine
Now I know you're mine
Now I know you're mine
Now I know you're mine
You've got to

Get into the groove
Boy, you've got to prove
Your love to me, yeah
Get up on your feet
Yeah, step to the beat
Boy, what will it be? (You've got to)
Get into the groove
Boy, you've got to prove
Your love to me, yeah
Get up on your feet
Yeah, step to the beat
Boy, what will it be? (You've got to)

Get into the groove
Boy, you've got to prove
Your love to me, yeah
Get up on your feet
Yeah, step to the beat
Boy, what will it be? (You've got to)
Get into the groove
Boy, you've got to prove
Your love to me, yeah
Get up on your feet
Yeah, step to the beat
Boy, what will it be? (You've got to)",285,pop,pop 80s
Pitseleh,Elliott Smith,56,106,45,21,88,51,10,-19,10B,"I'll tell you why I don't want to know where you are
I got a joke I've been dying to tell you
A silent kid is looking down the barrel
To make the noise that I kept so quiet
Kept it from you, Pitseleh

I'm not what's missing from your life now
I could never be the puzzle pieces
They say that God makes problems just to see what you can stand
Before you do as the Devil pleases
Give up the thing you love
But no one deserves it

The first time I saw you
I knew it would never last
I'm not half what I wish I was
I'm so angry
I don't think it'll ever pass
And I was bad news for you just because
I never meant to hurt you",202,indie,indie folk
Hard Times,Paramore,85,120,70,82,1,92,0,-5,4A,"One, two

All that I want
Is to wake up fine
Tell me that I'm alright
That I ain't gonna die
All that I want
Is a hole in the ground
You can tell me when it's alright
For me to come out

Hard times
Gonna make you wonder why you even try
Hard times
Gonna take you down and laugh when you cry
These lives
And I still don't know how I even survive
Hard times, hard times
And I gotta get to rock bottom (Uh)

Walking around
With my little rain cloud
Hangin' over my head
And it ain't coming down
Where do I go?
Give me some sort of sign
You hit me with lightning
Maybe I'll come alive

Hard times
Gonna make you wonder why you even try
Hard times
Gonna take you down and laugh when you cry
These lives
And I still don't know how I even survive
Hard times, hard times
And I gotta hit rock bottom (Uh)

Tell my friends I'm coming down
We'll kick it when I hit the ground
Tell my friends I'm coming down
We'll kick it when I hit the ground
When I hit the ground
When I hit the ground
When I hit the ground
When I hit the ground

Hard times
Gonna make you wonder why you even try
Hard times
Gonna take you down and laugh when you cry
These lives
And I still don't know how I even survive
Hard times (Hard times), hard times (Hard times)
Hard times
Gonna make you wonder why you even try
Hard times
Gonna take you down and laugh when you cry
These lives
And I still don't know how I even survive
Hard times (Hard times), hard times

Hard times
Makes you wonder why you even try
Makes you wonder why you even try
Makes you wonder why you even try
Makes you wonder
Hard times
Still don't know how I even survive
Still don't know how I even survive
Still don't know how I even survive
Still don't know how I survive
And I gotta get to rock bottom (Uh)",182,pop,pop rock
She Doesn't Mind,Sean Paul,65,120,72,78,0,62,20,-5,6A,"(Oh-oh, oh-oh, oh-oh, oh-oh-oh)
(Oh-oh, oh-oh, oh-oh)

Girl, I got you so high, and I know you like
So come and push it on me if it feels all right
When you drop it low and break me off, no, she doesn't mind
Aight, she doesn't mind
Aight, she doesn't mind
Girl, I got you so—

Push it back pon it, bring it back pon it
Gimme di ting becah me waah fi lock pon it
Wine it, wiggle it, set di track pon it
Two more shot, now we inna hot pon it
Two girl, and dem ready for jump pon it
Two to my world, and me ready for dump pon it
Ready for run pon it, ready for dump pon it
Tag teaming, fiyah truck, me pump on it

Hands up high, we burning up the sky
We got the dance hall crazy, got the club on fire
I like the way you dance, you got me in a trance
My baby, she don't mind at all

Girl, I got you so high, and I know you like
So come and push it on me if it feels all right
When you drop it low and break me off, no, she doesn't mind
Aight, she doesn't mind
Aight, she doesn't mind
Girl, I got you so high, and I know you like
So come and push it on me if it feels all right
When you drop it low and break me off, no, she doesn't mind
Aight, she doesn't mind
Aight, she doesn't mind
Girl, I got you so—

Whine, yuh fi whine it, girl
Same time, ah time, she ah time it, girl
Same time I line, me ah line it up fi pose sign it
Prime, me ah prime it, girl
Dis ah nuh crime, mek me climb it, girl
Set di temperature, di climate, girl
Check di rhyme, when me ah rhyme it, she combine it
Dis a for we private world

Hands up high, we burning up the sky
We got the dance hall crazy, got the club on fire
I like the way you dance, you got me in a trance
My baby, she don't mind at all

Girl, I got you so high, and I know you like
So come and push it on me if it feels all right
When you drop it low and break me off, no, she doesn't mind
Aight, she doesn't mind
Aight, she doesn't mind
Girl, I got you so high, and I know you like
So come and push it on me if it feels all right
When you drop it low and break me off, no, she doesn't mind
Aight, she doesn't mind
Aight, she doesn't mind
Girl, I got you so—

Ain't gonna be shy about it
Ain't telling no lie
Girl, I'm a animal, animal
Animal, animal
I'm breaking it down for the night and
I want you to come for the ride
Let's win it all, win it all
Win it all, win it all
Let's go
(Oh-oh, oh-oh, oh-oh, oh-oh-oh) She don't mind, girl
(Oh-oh, oh-oh, oh-oh) Come on

Girl, I got you so high, and I know you like (Oh-oh)
So come and push it on me if it feels all right (Oh-oh, oh-oh)
When you drop it low and break me off, no, she doesn't mind (Oh-oh-oh, oh-oh)
Aight, she doesn't mind (Oh-oh)
Aight, she doesn't mind (Oh-oh; let's go)
Girl, I got you so high, and I know you like (Oh-oh)
So come and push it on me if it feels all right (Oh-oh, oh-oh)
When you drop it low and break me off, no, she doesn't mind (Oh-oh-oh, oh-oh)
Aight, she doesn't mind (Oh-oh)
Aight, she doesn't mind (Oh-oh)
Girl, I got you so—",227,pop,pop
Pumpin Blood,NONONO,60,119,62,85,0,41,10,-4,9B,"Hey heart on the road again
Moving on forward
Sticks and stones won't break our bones
We're in the car on a highway
It's a magical feeling that no one's got a hold
You're a catalyst to your happiness you know
This is your heart, it's alive
It's pumping blood
And it's your heart, it's alive
It's pumping blood
And the whole wide world is whistling
And it's whistling
Hey heart on the run again
Driving strong forward
Sticks and stones won't take its course
You got the part in the front seat
It's the best and worst feeling like nothing can go wrong
You're the decider of the world that you will get to know
Cause it's your heart, it's alive
It's pumpin' blood
And it's your heart, it's alive
It's pumpin' blood
And the whole wide world is whistling

Hey heart on the road again
On a highway, on a highway
Hey heart on the road again
On a highway, on a highway
Cause it's your heart it's alive
It's pumpin' blood
Yeah it's your heart it's alive it's pumpin blood
And the whole wide world is whistling
And it's whistling
And it's whistling
And it's whistling",209,indie,indie pop
Running Away,Thee Sacred Souls,67,139,55,65,31,79,20,-7,10B,"He's used to getting hurt by all the girls
They try his world for just a season
And now he's got a good girl (Good girl)
And she wants to stay
Ooh, but he's gotta go for his own reasons

Ooh, he's running (Running, running, running, running away)
Yes, he's running, running away
He's running (Running, running, running, running away)
Ooh, he's running away

He says to her (He says to her)
He says it's hard to be (So hard to be true)
True to you and true to me (Listen to your heart)
I hear a voice, it won't stop saying
(Set it free, set it free, set it free, set it free, set it free)
It's saying ""I need to set us both free""
(Set it free, set it free, set it free, set it free, set it free)

Ooh, he's running (Running, running, running, running away)
Hе's running, he's running away
He's running (Running, running, running, running away)
Ooh-ooh, he's running away

(Hе didn't mean) He didn't mean to break your heart
(To break your heart) Oh, it's eating him up inside
(He didn't mean) He didn't mean to make you cry
(To break your heart)

(Running, running, running, running away)
Oh, he's running, running away
He's running, yes, he is (Running, running, running, running away)
He's running away
(Running, running, running, running away) Looking for answers he may never find
(Running, running, running, running away) Oh
But what if he never tries?

(Running, running, running, running away) Ready, set, there he goes
Leaving his love for a lonely road
Where's he gonna go where no one knows?
How's he gonna get there? On his toes
(Running, running, running, running away) Ooh, there he goes
Leaving his love for a lonely road
Where's he gonna go where no one knows?
How's he gonna get there? On his toes
He's running (Running, running, running, running away)
Oh, he's running
Yes, he's running, running—",195,soul,soul
Steal My Girl,One Direction,85,77,54,77,0,55,10,-6,3A,"She been my queen since we were sixteen
We want the same things, we dream the same dreams
Alright, alright
I got it all 'cause she is the one
Her mum calls me ""Love,"" her dad calls me ""Son""
Alright, alright

I know, I know, I know for sure

Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me

Kisses like cream, her walk is so mean
And every jaw drops when she's in those jeans
Alright, alright
I don't exist if I don't have her
The sun doesn't shine, the world doesn't turn
Alright, alright

But I know, I know, I know for sure

Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me

Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na-na-na

She knows, she knows
That I never let her down before
Oh, she knows, she knows
That I'm never gonna let another take her love from me now

Everybody wanna steal my girl (Wants to steal my girl)
Everybody wanna take her heart away (Wants to take her love away)
Couple billion in the whole wide world
Find another one 'cause she belongs to me
(Well, find another one 'cause she belongs to me)
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me (Oh, yeah)

Na-na-na-na-na-na-na (Oh, yeah, alright, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me
Na-na-na-na-na-na-na (She belongs to me, yeah, oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na
She belongs to me",228,pop,pop
Best I Ever Had,Drake,79,162,40,92,19,56,10,-2,3B,"You know, a lot of girls be
Thinkin' my songs are about them
This is not to get confused
This one's for you

Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin'

Know you got a roommate, call me when there's no one there
Put the key under the mat and you know I be over there (Yup)
I be over there, shawty, I be over there
I be hittin' all the spots that you ain't even know was there
And you don't even have to ask twice
You could have my heart or we could share it like the last slice
Always felt like you was so accustomed to the fast life
Have a nigga thinkin' that he met you in a past life
Sweatpants, hair tied, chillin' with no make-up on
That's when you're the prettiest
I hope that you don't take it wrong
You don't even trip when friends say
""You ain't bringin' Drake along?""
You know that I'm workin', I'll be there soon as I make it home
And she a patient in my waiting room
Never pay attention to the rumors and what they assume
And until them girls prove it
I'm the one that never get confused with, 'cause

Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin'

Sex, Love, Pain, baby, I be on that Tank shit
Buzz so big I could probably sell a blank disc
When my album drop, bitches'll buy it for the picture
And niggas'll buy it too and claim they got it for they sister
Magazine paper, girl, the money ain't the issue
They bring dinner to my room and ask me to initial
She call me the referee 'cause I be so official
My shirt ain't got no stripes, but I can make your pussy whistle
Like the Andy Griffith theme song
And who told you to put them jeans on?
Double cup love, you the one I lean on
Feelin' for a fix, then you should really get your fiend on
Yeah, just know my condo is the crack spot
Every single show, she out there reppin' like a mascot
Get it from the back and make your fuckin' bra strap pop
All up in your slot 'til a nigga hit the jackpot, I'm saying

Baby, you my everything, you all I ever wanted
We could do it real big, bigger than you ever done it
You be up on everything, other hoes ain't never on it
I want this forever, I swear I can spend whatever on it
'Cause she hold me down every time I hit her up
When I get right, I promise that we gon' live it up
She made me beg for it 'til she give it up
And I say the same thing every single time
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had
I say, you the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the fuckin' best (Ayy), you the fuckin' best (Ayy)
You the best I ever had (Ayy), best I ever had (Ayy)
Best I ever had (Ayy), best I ever had

Uhh, ah yeah
See, this the type of joint you gotta dedicate to somebody
Just make sure they that special somebody
Young Money, yeah, yeah
You know who you are
I got you",257,hip hop,hip hop
Rollercoaster,Bleachers,68,162,42,79,0,28,10,-6,6B,"It was summer when I saw your face
Looked like a teenage runaway
Oh God, I never thought we'd take it that far
Some killer queen you are

Now I'm running and I can't stop anywhere I go
I think about it every day and night, I can't let go
Man, I'm never the same
We were shotgun lovers, I'm a shotgun running away

So come a little closer
There was something I can tell, yeah
You are such a rollercoaster
And a killer queen you are

Rollercoaster, I don't say no
Rollercoaster, when you don't say no
And it's such a rollercoaster
Some killer queen you are

We took the bones out from the road
Those endless nights that we traveled we stole
You let your clothes fall to the floor
And lit a fire while I waited for more

Now I'm running and I won't stop, I don't wanna go
I think about it every day and night, I can't let go
And hey, I'm never the same
It's a hundred miles an hour on a dirt road running away

So come a little closer
There was something I can tell, yeah
You are such a rollercoaster
And a killer queen you are

Rollercoaster, I don't say no
Rollercoaster, when you don't say no
And it's such a rollercoaster
Some killer queen you are

Come a little closer
I'm sure, come a little closer

Why don't you come a little closer
There was something I can tell, yeah
You are such a rollercoaster
Some killer queen you are

Rollercoaster, I don't say no
Rollercoaster, when you don't say no
And it's such a rollercoaster
Some killer queen you are

So come a little closer
There was something I can tell, yeah
You are such a rollercoaster
And a killer queen you are
Rollercoaster, I don't say no
Rollercoaster, when you don't say no
And it's such a rollercoaster
Some killer queen you are",188,indie,indie pop
Pluto Projector,Rex Orange County,78,80,38,22,71,19,10,-11,7B,"The great protector
Is that what I'm supposed to be?
What if all this counts for nothing
Everything I thought I'd be?
What if by the time I realize
It's too far behind to see?
Seventy-mil projector
I can show you everything, yeah
And we're on our way to glory
Where the show won't ever end
And the encore lasts forever
And it's time we're due to spend

Spending the years together
Growing older every day (Every day)
I feel at home when I'm around you
And I'll gladly say again
I hope the encore lasts forever
Now there's time for us to spend
And it's sublime with you, my friend
This right here still feels like a honeymoon
When you say my name, nothing's changed
I'm still a boy inside my thoughts
Am I meant to understand my faults?

I don't think so
I don't think I'm meant to understand myself
Maybe you do
And that's good for you
Maybe in time
Maybe one day
I'll do the same
(I'll do the same
I'll do the same
I'll do the same)

I'll do the same as you
I'll try and hold it up
Soon I hope
Or as soon as I'm old enough
(Old enough to understand
Old enough to understand)

Stay forever, you know more than anyone (Yeah, whoa)
And it's you that knows my darkness
And you know my bedroom needs
You could blast me and my secrets
But there's probably just no need",267,indie,indie pop
Decode,Paramore,78,164,28,87,0,28,10,-4,3A,"How can I decide what's right
When you're clouding up my mind?
I can't win your losing fight
All the time
Nor can I ever own what's mine
When you're always taking sides
But you won't take away my pride

No, not this time
Not this time

How did we get here
When I used to know you so well?
But how did we get here?
Well, I think I know

The truth is hiding in your eyes
And it's hanging on your tongue
Just boiling in my blood
But you think that I can't see
What kind of man that you are
If you're a man at all
Well, I will figure this one out

On my own (I'm screaming, ""I love you so"")
On my own (But my thoughts, you can't decode)

But how did we get here
When I used to know you so well? Yeah
How did we get here?
Well, I think I know

Do you see what we've done?
We've gone and made such fools of ourselves
Do you see what we've done?
We've gone and made such fools of ourselves

Yeah, yeah
Hey

How did we get here
When I used to know you so well? Yeah, yeah, yeah
Well, how did we get here
When I used to know you so well?

I think I know
I think I know

Ooh, there is something
I see in you
It might kill me
I want it to be true",261,rock,rock
HOT TO GO!,Chappell Roan,82,140,74,76,2,96,30,-5,2B,"Five, six
Five, six, seven, eight

I could be the one, or your new addiction
It's all in my head, but I want non-fiction
I don't want the world, but I'll take this city
Who can blame a girl? Call me hot, not pretty

Baby, do you like this beat?
I made it so you'd dance with me
It's like a hundred ninety-nine degrees
When you're doin' it with me, doin' it with me

H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
Dance it out, you're hot to go
H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
H-O-T-T-O-G-O

H-O-T-T-O-G-O
You can take me hot to go
H-O-T-T-O-G-O
You can take me hot to go

Well, I woke up alone starin' at my cеilin'
I try not to care, but it hurts my feelings
You don't have to stare, comе here, get with it
No one's touched me there in a damn hot minute

And baby, don't you like this beat?
I made it so you'd sleep with me
It's like a hundred ninety-nine degrees
When you're doin' it with me, doin' it with me

H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
Dance it out, you're hot to go
H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
H-O-T-T-O-G-O

H-O-T-T-O-G-O
You can take me hot to go
H-O-T-T-O-G-O
You can take me hot to go

What's it take to get your number?
What's it take to bring you home?
Hurry up, it's time for supper
Order up, I'm hot to go
What's it take to get your number?
Hurry up, it's gettin' cold
Hurry up, it's time for supper
Order up, I'm hot to go

H-O-T-T-O-G-O
You can take me hot to go (Oh, yeah)
H-O-T-T-O-G-O
You can take me hot to go (Hot to go)
H-O-T-T-O-G-O
You can take me hot to go (Oh, yeah)
H-O-T-T-O-G-O
You can take me hot to go

Whew, it's hot in here
Is anyone else hot?
Woo, you comin' home with me?
Okay, it's hot
I'll call the cab",184,dance,dance pop
